EventId,EventTemplate,Occurrences
2311ba9a,"<*> ""GET <*> HTTP/1.1"" status: <*> len: <*> time: <*>",931
c583951f,[instance: <*>] VM <*> (Lifecycle Event),109
fe9c1237,[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.,43
904416f0,image <*> at (<*>): checking,82
1ea73ca5,"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage",82
b36febb0,Active base files: <*>,82
16f9f039,Creating event <*> for instance <*>,22
b6030ec8,"<*> ""POST <*> HTTP/1.1"" status: <*> len: <*> time: <*>",64
899b89e9,[instance: <*>] Instance <*> successfully.,44
f290a191,[instance: <*>] Took <*> seconds to <*> the instance on the hypervisor.,43
e51c49ab,[instance: <*>] Took <*> seconds to build instance.,22
bc0f0d5b,Auditing locally available compute resources for node cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,15
f436579e,"Total usable vcpus: <*>, total allocated vcpus: <*>",15
7ac1d6e6,Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=<*>MB used_ram=<*>MB phys_disk=<*>GB used_disk=<*>GB total_vcpus=<*> used_vcpus=<*> pci_stats=[],15
12b67311,Compute_service record updated for cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,15
639a5d31,"<*> ""DELETE <*> HTTP/1.1"" status: <*> len: <*> time: <*>",22
72f56ddb,[instance: <*>] <*> <*>,64
27286d97,[instance: <*>] Deleting instance files <*>,21
822b21a7,[instance: <*>] Deletion of <*> complete,21
652a820e,[instance: <*>] Took <*> seconds to deallocate network for instance.,21
51387d9b,Unknown base file: <*>,30
3964d785,Removable base files: <*>,30
8087023c,Removing base or swap file: <*>,21
66acd71e,HTTP exception thrown: No instances found for any event,21
649b9389,"[instance: <*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",21
61f5f77a,"[instance: <*>] Total memory: <*> MB, used: <*> MB",21
4274cf92,"[instance: <*>] memory limit: <*> MB, free: <*> MB",21
524d7976,"[instance: <*>] Total disk: <*> GB, used: <*> GB",21
3f98d481,"[instance: <*>] <*> limit not specified, defaulting to unlimited",42
dae1599d,"[instance: <*>] Total vcpu: <*> VCPU, used: <*> VCPU",21
9be245ad,Successfully synced instances from host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us'.,2
05bce69d,Running instance usage audit for host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us from <*>-05-16 <*>:00:00 to <*>-05-16 <*>:00:00. <*> instances.,1
b7d6364d,Base or swap file too young to remove: <*>,9
9f12feda,The instance sync for host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us' did not match. Re-created its InstanceList.,5
7d8b6b51,"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",1
